ProductionID,ShiftID,MachineID,ProductID,StartTime,EndTime,TotalUnits,GoodUnits,IdealCycleTimeSeconds,Notes,DurationMinutes
PRD-00055,SFT-00041,M105,BPA-113,03:42:57,05:29:02,1,1,67,,106.08
PRD-00056,SFT-00042,M106,BPA-114,22:00:00,05:28:54,1,1,67,,448.9
PRD-00057,SFT-00043,M107,BPA-115,22:00:00,01:12:04,1,1,43,,192.07
PRD-00058,SFT-00043,M107,BPA-116,01:12:04,05:29:08,1,1,64,,257.07
PRD-00059,SFT-00044,M201,EMB-217,22:00:00,00:08:25,1,1,67,,128.42
PRD-00060,SFT-00044,M201,EMB-206,00:08:25,05:29:05,1,1,40,,320.67
PRD-00061,SFT-00046,M203,EMB-213,22:00:00,03:50:54,1,1,58,,350.9
PRD-00062,SFT-00046,M203,EMB-203,03:50:54,05:29:07,1,1,71,,98.22
PRD-00063,SFT-00047,M204,EMB-211,22:00:00,05:30:00,1,1,45,,450.0
PRD-00064,SFT-00048,M205,EMB-203,22:00:00,05:29:40,1,1,71,,449.67
PRD-00065,SFT-00049,M206,EMB-201,22:00:00,01:59:22,1,1,43,,239.37
PRD-00066,SFT-00049,M206,EMB-219,01:59:22,05:29:02,1,1,74,,209.67
PRD-00067,SFT-00050,M301,CSB-315,22:00:00,05:30:00,1,1,40,,450.0
PRD-00068,SFT-00051,M302,CSB-310,22:00:00,22:15:31,1,1,49,,15.52
PRD-00069,SFT-00051,M302,CSB-312,22:15:31,05:28:55,1,1,66,,433.4
PRD-00070,SFT-00052,M303,CSB-310,22:00:00,05:29:59,1,1,49,,449.98
PRD-00071,SFT-00053,M304,CSB-316,22:00:00,05:29:24,1,1,63,,449.4
PRD-00072,SFT-00054,M305,CSB-316,22:00:00,22:06:18,1,1,63,,6.3
PRD-00073,SFT-00054,M305,CSB-316,22:06:18,05:28:21,1,1,63,,442.05
PRD-00074,SFT-00055,M101,BPA-114,06:00:00,09:39:59,280,252,67,,219.98
PRD-00075,SFT-00055,M101,BPA-102,09:39:59,13:18:54,316,293,71,,218.92
PRD-00076,SFT-00056,M102,BPA-102,06:00:00,13:19:01,275,249,71,,439.02
PRD-00077,SFT-00057,M103,BPA-117,06:00:00,09:34:08,473,453,44,,214.13
PRD-00078,SFT-00057,M103,BPA-110,09:34:08,13:19:44,438,397,47,,225.6
PRD-00079,SFT-00058,M104,BPA-107,06:00:00,13:19:27,447,414,51,,439.45
PRD-00080,SFT-00059,M105,BPA-108,06:00:00,13:20:00,406,377,60,,440.0
PRD-00081,SFT-00060,M106,BPA-105,06:00:00,13:19:27,424,411,47,,439.45
PRD-00082,SFT-00061,M107,BPA-106,06:00:00,10:34:08,364,336,64,,274.13
PRD-00083,SFT-00061,M107,BPA-102,10:34:08,13:18:37,333,300,71,,164.48
PRD-00084,SFT-00062,M201,EMB-200,06:00:00,13:19:33,371,347,59,,439.55
PRD-00085,SFT-00063,M202,EMB-211,06:00:00,13:19:30,510,480,45,,439.5
PRD-00086,SFT-00064,M203,EMB-212,06:00:00,13:19:57,308,290,63,,439.95
PRD-00087,SFT-00065,M204,EMB-208,06:00:00,13:19:57,339,334,63,,439.95
PRD-00088,SFT-00066,M205,EMB-202,06:00:00,13:19:27,409,390,51,,439.45
PRD-00089,SFT-00067,M206,EMB-206,06:00:00,06:08:40,499,482,40,,8.67
PRD-00090,SFT-00067,M206,EMB-213,06:08:40,13:18:50,387,354,58,,430.17
PRD-00091,SFT-00068,M301,CSB-319,06:00:00,09:00:36,495,486,43,,180.6
PRD-00092,SFT-00068,M301,CSB-311,09:00:36,13:18:34,286,260,71,,257.97
PRD-00093,SFT-00069,M302,CSB-301,06:00:00,12:38:52,352,347,62,,398.87
PRD-00094,SFT-00069,M302,CSB-319,12:38:52,13:19:00,493,449,43,,40.13
PRD-00095,SFT-00070,M303,CSB-318,06:00:00,13:19:19,558,546,43,,439.32
PRD-00096,SFT-00071,M304,CSB-307,06:00:00,13:20:00,400,374,60,,440.0
PRD-00097,SFT-00072,M305,CSB-316,06:00:00,11:34:57,343,329,63,,334.95
PRD-00098,SFT-00072,M305,CSB-313,11:34:57,13:18:57,576,555,40,,104.0
PRD-00099,SFT-00073,M101,BPA-117,14:00:00,21:14:52,551,511,44,,434.87
PRD-00100,SFT-00074,M102,BPA-119,14:00:00,21:14:24,289,264,72,,434.4
PRD-00101,SFT-00075,M103,BPA-113,14:00:00,21:14:23,313,295,67,,434.38
PRD-00102,SFT-00076,M104,BPA-109,14:00:00,21:14:04,311,284,68,,434.07
PRD-00103,SFT-00077,M105,BPA-117,14:00:00,15:39:44,529,495,44,,99.73
PRD-00104,SFT-00077,M105,BPA-108,15:39:44,21:13:44,383,367,60,,334.0
PRD-00105,SFT-00078,M106,BPA-109,14:00:00,19:50:12,263,254,68,,350.2
PRD-00106,SFT-00078,M106,BPA-116,19:50:12,21:14:28,368,345,64,,84.27
PRD-00107,SFT-00079,M107,BPA-111,14:00:00,17:07:01,472,436,49,,187.02
PRD-00108,SFT-00079,M107,BPA-100,17:07:01,21:14:05,275,260,68,,247.07
PRD-00109,SFT-00080,M201,EMB-216,14:00:00,14:23:46,298,283,62,,23.77
PRD-00110,SFT-00080,M201,EMB-218,14:23:46,21:13:10,314,285,69,,409.4
PRD-00111,SFT-00082,M203,EMB-209,14:00:00,21:14:36,411,401,53,,434.6
PRD-00112,SFT-00084,M205,EMB-204,14:00:00,16:26:46,286,270,74,,146.77
PRD-00113,SFT-00084,M205,EMB-213,16:26:46,21:13:52,322,290,58,,287.1
PRD-00114,SFT-00085,M206,EMB-210,14:00:00,14:34:32,272,263,74,,34.53
PRD-00115,SFT-00085,M206,EMB-211,14:34:32,21:14:17,461,455,45,,399.75
PRD-00116,SFT-00086,M301,CSB-316,14:00:00,14:08:24,309,279,63,,8.4
PRD-00117,SFT-00086,M301,CSB-303,14:08:24,21:13:56,389,350,52,,425.53
PRD-00118,SFT-00087,M302,CSB-309,14:00:00,14:49:10,415,397,50,,49.17
PRD-00119,SFT-00087,M302,CSB-300,14:49:10,21:14:10,392,384,50,,385.0
PRD-00120,SFT-00088,M303,CSB-312,14:00:00,21:14:30,341,309,66,,434.5
PRD-00121,SFT-00089,M304,CSB-315,14:00:00,17:50:00,596,576,40,,230.0
PRD-00122,SFT-00089,M304,CSB-308,17:50:00,21:14:15,546,492,43,,204.25
PRD-00123,SFT-00090,M305,CSB-309,14:00:00,21:15:00,404,387,50,,435.0
PRD-00124,SFT-00091,M101,BPA-102,22:00:00,05:29:40,1,1,71,,449.67
PRD-00125,SFT-00092,M102,BPA-103,22:00:00,05:28:56,1,1,74,,448.93
PRD-00126,SFT-00093,M103,BPA-103,22:00:00,22:37:00,1,1,74,,37.0
PRD-00127,SFT-00093,M103,BPA-101,22:37:00,05:28:42,1,1,46,,411.7
PRD-00128,SFT-00094,M104,BPA-111,22:00:00,03:37:17,1,1,49,,337.28
PRD-00129,SFT-00094,M104,BPA-106,03:37:17,05:29:17,1,1,64,,112.0
PRD-00130,SFT-00095,M105,BPA-111,22:00:00,05:29:59,1,1,49,,449.98
PRD-00131,SFT-00097,M107,BPA-104,22:00:00,05:29:21,1,1,57,,449.35
PRD-00132,SFT-00098,M201,EMB-216,22:00:00,05:29:30,1,1,62,,449.5
PRD-00133,SFT-00099,M202,EMB-210,22:00:00,23:17:42,1,1,74,,77.7
PRD-00134,SFT-00099,M202,EMB-218,23:17:42,05:29:09,1,1,69,,371.45
PRD-00135,SFT-00100,M203,EMB-219,22:00:00,02:43:40,1,1,74,,283.67
PRD-00136,SFT-00100,M203,EMB-206,02:43:40,05:29:00,1,1,40,,165.33
PRD-00137,SFT-00101,M204,EMB-205,22:00:00,05:29:39,1,1,51,,449.65
PRD-00138,SFT-00102,M205,EMB-213,22:00:00,23:50:12,1,1,58,,110.2
PRD-00139,SFT-00102,M205,EMB-210,23:50:12,05:29:22,1,1,74,,339.17
PRD-00140,SFT-00103,M206,EMB-215,22:00:00,03:10:02,1,1,71,,310.03
PRD-00141,SFT-00103,M206,EMB-207,03:10:02,05:29:26,1,1,51,,139.4
PRD-00142,SFT-00104,M301,CSB-310,22:00:00,04:30:22,1,1,49,,390.37
PRD-00143,SFT-00104,M301,CSB-316,04:30:22,05:29:10,1,1,63,,58.8
PRD-00144,SFT-00105,M302,CSB-308,22:00:00,01:54:21,1,1,43,,234.35
PRD-00145,SFT-00105,M302,CSB-309,01:54:21,05:29:21,1,1,50,,215.0
PRD-00146,SFT-00108,M305,CSB-311,22:00:00,05:29:40,1,1,71,,449.67
PRD-00147,SFT-00109,M101,BPA-106,06:00:00,13:19:28,307,299,64,,439.47
PRD-00148,SFT-00110,M102,BPA-111,06:00:00,13:03:02,472,460,49,,423.03
PRD-00149,SFT-00110,M102,BPA-104,13:03:02,13:19:11,349,320,57,,16.15
PRD-00150,SFT-00111,M103,BPA-106,06:00:00,10:56:32,362,328,64,,296.53
PRD-00151,SFT-00111,M103,BPA-115,10:56:32,13:18:26,421,393,43,,141.9
PRD-00152,SFT-00112,M104,BPA-106,06:00:00,13:19:28,379,353,64,,439.47
PRD-00153,SFT-00113,M105,BPA-108,06:00:00,13:20:00,356,340,60,,440.0
PRD-00154,SFT-00114,M106,BPA-115,06:00:00,07:34:36,551,505,43,,94.6
PRD-00155,SFT-00114,M106,BPA-114,07:34:36,13:19:39,277,267,67,,345.05
PRD-00156,SFT-00115,M107,BPA-104,06:00:00,13:19:51,424,407,57,,439.85
PRD-00157,SFT-00116,M201,EMB-214,06:00:00,13:19:22,426,408,49,,439.37
PRD-00158,SFT-00117,M202,EMB-201,06:00:00,13:19:19,481,473,43,,439.32
PRD-00159,SFT-00118,M203,EMB-215,06:00:00,13:19:01,297,281,71,,439.02
PRD-00160,SFT-00119,M204,EMB-200,06:00:00,13:19:33,370,354,59,,439.55
PRD-00161,SFT-00120,M205,EMB-202,06:00:00,11:33:12,428,397,51,,333.2
PRD-00162,SFT-00120,M205,EMB-208,11:33:12,13:19:15,301,273,63,,106.05
PRD-00163,SFT-00121,M206,EMB-202,06:00:00,09:48:39,390,372,51,,228.65
PRD-00164,SFT-00121,M206,EMB-203,09:48:39,13:19:17,299,278,71,,210.63
PRD-00165,SFT-00122,M301,CSB-314,06:00:00,11:34:20,416,391,59,,334.33
PRD-00166,SFT-00122,M301,CSB-300,11:34:20,13:18:30,407,367,50,,104.17
PRD-00167,SFT-00123,M302,CSB-308,06:00:00,08:22:37,530,502,43,,142.62
PRD-00168,SFT-00123,M302,CSB-318,08:22:37,13:19:19,521,492,43,,296.7
PRD-00169,SFT-00124,M303,CSB-313,06:00:00,11:21:20,603,552,40,,321.33
PRD-00170,SFT-00124,M303,CSB-301,11:21:20,13:19:08,368,360,62,,117.8
PRD-00171,SFT-00125,M304,CSB-318,06:00:00,13:19:19,495,459,43,,439.32
PRD-00172,SFT-00126,M305,CSB-307,06:00:00,13:20:00,386,369,60,,440.0
PRD-00173,SFT-00127,M101,BPA-104,14:00:00,21:14:09,409,393,57,,434.15
PRD-00174,SFT-00128,M102,BPA-111,14:00:00,21:14:28,461,421,49,,434.47
PRD-00175,SFT-00129,M103,BPA-113,14:00:00,20:40:53,293,284,67,,400.88
PRD-00176,SFT-00129,M103,BPA-109,20:40:53,21:13:45,338,328,68,,32.87
PRD-00177,SFT-00130,M104,BPA-102,14:00:00,21:14:17,292,264,71,,434.28
PRD-00178,SFT-00131,M105,BPA-112,14:00:00,17:16:12,352,329,54,,196.2
PRD-00179,SFT-00131,M105,BPA-114,17:16:12,21:14:03,274,262,67,,237.85
PRD-00180,SFT-00132,M106,BPA-113,14:00:00,20:35:18,310,280,67,,395.3
PRD-00181,SFT-00132,M106,BPA-109,20:35:18,21:13:50,331,305,68,,38.53
PRD-00182,SFT-00133,M107,BPA-109,14:00:00,16:50:00,359,332,68,,170.0
PRD-00183,SFT-00133,M107,BPA-107,16:50:00,21:14:21,423,383,51,,264.35
PRD-00184,SFT-00134,M201,EMB-200,14:00:00,18:29:26,325,303,59,,269.43
PRD-00185,SFT-00134,M201,EMB-203,18:29:26,21:13:55,321,306,71,,164.48
PRD-00186,SFT-00135,M202,EMB-203,14:00:00,21:14:17,252,232,71,,434.28
PRD-00187,SFT-00136,M203,EMB-214,14:00:00,21:14:28,394,378,49,,434.47
PRD-00188,SFT-00137,M204,EMB-203,14:00:00,21:14:17,290,284,71,,434.28
PRD-00189,SFT-00138,M205,EMB-207,14:00:00,20:57:21,391,384,51,,417.35
PRD-00190,SFT-00138,M205,EMB-218,20:57:21,21:14:36,301,281,69,,17.25
PRD-00191,SFT-00139,M206,EMB-204,14:00:00,21:11:40,303,276,74,,431.67
PRD-00192,SFT-00139,M206,EMB-211,21:11:40,21:13:55,466,456,45,,2.25
PRD-00193,SFT-00140,M301,CSB-306,14:00:00,21:14:12,408,373,52,,434.2
PRD-00194,SFT-00141,M302,CSB-306,14:00:00,21:14:12,389,362,52,,434.2
PRD-00195,SFT-00142,M303,CSB-314,14:00:00,21:14:38,361,331,59,,434.63
PRD-00196,SFT-00143,M304,CSB-308,14:00:00,21:14:18,524,511,43,,434.3
PRD-00197,SFT-00144,M305,CSB-302,14:00:00,14:12:36,532,511,42,,12.6
PRD-00198,SFT-00144,M305,CSB-316,14:12:36,21:14:42,370,353,63,,422.1
PRD-00199,SFT-00145,M101,BPA-118,22:00:00,04:38:47,1,1,71,,398.78
PRD-00200,SFT-00145,M101,BPA-105,04:38:47,05:28:55,1,1,47,,50.13
PRD-00201,SFT-00146,M102,BPA-102,22:00:00,00:23:11,1,1,71,,143.18
PRD-00202,SFT-00146,M102,BPA-110,00:23:11,05:28:41,1,1,47,,305.5
PRD-00203,SFT-00147,M103,BPA-106,22:00:00,05:29:04,1,1,64,,449.07
PRD-00204,SFT-00148,M104,BPA-118,22:00:00,05:29:40,1,1,71,,449.67
PRD-00205,SFT-00149,M105,BPA-100,22:00:00,04:55:56,1,1,68,,415.93
PRD-00206,SFT-00149,M105,BPA-101,04:55:56,05:29:40,1,1,46,,33.73
PRD-00207,SFT-00150,M106,BPA-108,22:00:00,05:30:00,1,1,60,,450.0
PRD-00208,SFT-00151,M107,BPA-103,22:00:00,05:28:56,1,1,74,,448.93
PRD-00209,SFT-00152,M201,EMB-200,22:00:00,05:29:23,1,1,59,,449.38
PRD-00210,SFT-00153,M202,EMB-214,22:00:00,05:29:59,1,1,49,,449.98
PRD-00211,SFT-00154,M203,EMB-219,22:00:00,05:28:56,1,1,74,,448.93
PRD-00212,SFT-00155,M204,EMB-204,22:00:00,01:54:20,1,1,74,,234.33
PRD-00213,SFT-00155,M204,EMB-205,01:54:20,05:29:23,1,1,51,,215.05
PRD-00214,SFT-00156,M205,EMB-201,22:00:00,03:56:11,1,1,43,,356.18
PRD-00215,SFT-00156,M205,EMB-205,03:56:11,05:28:50,1,1,51,,92.65
PRD-00216,SFT-00157,M206,EMB-215,22:00:00,05:29:40,1,1,71,,449.67
PRD-00217,SFT-00158,M301,CSB-314,22:00:00,05:29:23,1,1,59,,449.38
PRD-00218,SFT-00159,M302,CSB-303,22:00:00,05:29:48,1,1,52,,449.8
PRD-00219,SFT-00160,M303,CSB-310,22:00:00,04:58:08,1,1,49,,418.13
PRD-00220,SFT-00160,M303,CSB-307,04:58:08,05:29:08,1,1,60,,31.0
PRD-00221,SFT-00161,M304,CSB-315,22:00:00,05:30:00,1,1,40,,450.0
PRD-00222,SFT-00162,M305,CSB-319,22:00:00,05:29:21,1,1,43,,449.35
PRD-00223,SFT-00163,M101,BPA-105,06:00:00,13:19:27,435,408,47,,439.45
PRD-00224,SFT-00164,M102,BPA-112,06:00:00,13:19:12,377,366,54,,439.2
PRD-00225,SFT-00165,M103,BPA-114,06:00:00,13:19:58,299,281,67,,439.97
PRD-00226,SFT-00166,M104,BPA-117,06:00:00,13:20:00,465,419,44,,440.0
PRD-00227,SFT-00167,M105,BPA-113,06:00:00,06:55:50,332,323,67,,55.83
PRD-00228,SFT-00167,M105,BPA-107,06:55:50,13:18:20,407,387,51,,382.5
PRD-00229,SFT-00168,M106,BPA-114,06:00:00,13:19:58,288,270,67,,439.97
PRD-00230,SFT-00169,M107,BPA-116,06:00:00,10:58:40,322,307,64,,298.67
PRD-00231,SFT-00169,M107,BPA-115,10:58:40,13:19:08,445,402,43,,140.47
PRD-00232,SFT-00170,M201,EMB-211,06:00:00,13:19:30,473,459,45,,439.5
PRD-00233,SFT-00171,M202,EMB-207,06:00:00,08:17:42,408,388,51,,137.7
PRD-00234,SFT-00171,M202,EMB-203,08:17:42,13:19:27,290,268,71,,301.75
PRD-00235,SFT-00172,M203,EMB-217,06:00:00,07:13:42,288,264,67,,73.7
PRD-00236,SFT-00172,M203,EMB-200,07:13:42,13:19:30,306,275,59,,365.8
PRD-00237,SFT-00173,M204,EMB-206,06:00:00,13:20:00,512,485,40,,440.0
PRD-00238,SFT-00174,M205,EMB-213,06:00:00,11:14:10,400,367,58,,314.17
PRD-00239,SFT-00174,M205,EMB-211,11:14:10,13:18:40,421,396,45,,124.5
PRD-00240,SFT-00175,M206,EMB-206,06:00:00,08:47:20,526,490,40,,167.33
PRD-00241,SFT-00175,M206,EMB-214,08:47:20,13:19:17,388,373,49,,271.95
PRD-00242,SFT-00176,M301,CSB-305,06:00:00,13:14:04,321,299,68,,434.07
PRD-00243,SFT-00176,M301,CSB-311,13:14:04,13:18:48,283,262,71,,4.73
PRD-00244,SFT-00177,M302,CSB-319,06:00:00,13:19:19,479,465,43,,439.32
PRD-00245,SFT-00178,M303,CSB-307,06:00:00,13:20:00,410,382,60,,440.0
PRD-00246,SFT-00179,M304,CSB-301,06:00:00,13:19:10,348,321,62,,439.17
PRD-00247,SFT-00180,M305,CSB-306,06:00:00,13:19:24,406,386,52,,439.4
PRD-00248,SFT-00181,M101,BPA-104,14:00:00,18:13:39,352,323,57,,253.65
PRD-00249,SFT-00181,M101,BPA-118,18:13:39,21:13:31,278,267,71,,179.87
PRD-00250,SFT-00182,M102,BPA-117,14:00:00,21:14:52,503,487,44,,434.87
PRD-00251,SFT-00183,M103,BPA-117,14:00:00,21:14:52,469,422,44,,434.87
PRD-00252,SFT-00184,M104,BPA-115,14:00:00,21:14:18,484,467,43,,434.3
PRD-00253,SFT-00185,M105,BPA-114,14:00:00,21:14:23,301,294,67,,434.38
PRD-00254,SFT-00186,M106,BPA-104,14:00:00,18:24:06,371,339,57,,264.1
PRD-00255,SFT-00186,M106,BPA-113,18:24:06,21:13:50,303,281,67,,169.73
PRD-00256,SFT-00187,M107,BPA-109,14:00:00,16:22:48,296,276,68,,142.8
PRD-00257,SFT-00187,M107,BPA-105,16:22:48,21:14:12,394,358,47,,291.4
PRD-00258,SFT-00188,M201,EMB-218,14:00:00,20:49:24,272,255,69,,409.4
PRD-00259,SFT-00188,M201,EMB-211,20:49:24,21:14:09,471,456,45,,24.75
PRD-00260,SFT-00189,M202,EMB-218,14:00:00,20:34:27,290,276,69,,394.45
PRD-00261,SFT-00189,M202,EMB-215,20:34:27,21:13:30,302,274,71,,39.05
PRD-00262,SFT-00190,M203,EMB-214,14:00:00,15:08:36,424,391,49,,68.6
PRD-00263,SFT-00190,M203,EMB-211,15:08:36,21:13:51,493,453,45,,365.25
PRD-00264,SFT-00191,M204,EMB-200,14:00:00,16:56:01,332,304,59,,176.02
PRD-00265,SFT-00191,M204,EMB-203,16:56:01,21:13:59,285,268,71,,257.97
PRD-00266,SFT-00193,M206,EMB-200,14:00:00,19:19:35,335,312,59,,319.58
PRD-00267,SFT-00193,M206,EMB-218,19:19:35,21:14:35,266,245,69,,115.0
PRD-00268,SFT-00194,M301,CSB-303,14:00:00,21:14:12,417,399,52,,434.2
PRD-00269,SFT-00195,M302,CSB-313,14:00:00,21:14:40,504,492,40,,434.67
PRD-00270,SFT-00196,M303,CSB-310,14:00:00,14:55:32,495,466,49,,55.53
PRD-00271,SFT-00196,M303,CSB-316,14:55:32,21:13:32,309,283,63,,378.0
PRD-00272,SFT-00197,M304,CSB-312,14:00:00,17:26:48,357,350,66,,206.8
PRD-00273,SFT-00197,M304,CSB-312,17:26:48,21:14:30,316,309,66,,227.7
PRD-00274,SFT-00198,M305,CSB-301,14:00:00,17:41:08,379,374,62,,221.13
PRD-00275,SFT-00198,M305,CSB-316,17:41:08,21:14:17,348,335,63,,213.15
PRD-00276,SFT-00199,M101,BPA-108,22:00:00,05:29:00,1,1,60,,449.0
PRD-00277,SFT-00200,M102,BPA-104,22:00:00,05:29:21,1,1,57,,449.35
PRD-00278,SFT-00201,M103,BPA-101,22:00:00,05:29:16,1,1,46,,449.27
PRD-00279,SFT-00203,M105,BPA-119,22:00:00,00:56:24,1,1,72,,176.4
PRD-00280,SFT-00203,M105,BPA-105,00:56:24,05:29:47,1,1,47,,273.38
PRD-00281,SFT-00204,M106,BPA-106,22:00:00,05:29:04,1,1,64,,449.07
PRD-00282,SFT-00205,M107,BPA-101,22:00:00,03:59:34,1,1,46,,359.57
PRD-00283,SFT-00205,M107,BPA-107,03:59:34,05:29:40,1,1,51,,90.1
PRD-00284,SFT-00206,M201,EMB-215,22:00:00,05:29:40,1,1,71,,449.67
PRD-00285,SFT-00207,M202,EMB-217,22:00:00,05:28:54,1,1,67,,448.9
PRD-00286,SFT-00208,M203,EMB-219,22:00:00,01:25:58,1,1,74,,205.97
PRD-00287,SFT-00208,M203,EMB-204,01:25:58,05:28:56,1,1,74,,242.97
PRD-00288,SFT-00209,M204,EMB-203,22:00:00,05:29:40,1,1,71,,449.67
PRD-00289,SFT-00210,M205,EMB-208,22:00:00,05:29:24,1,1,63,,449.4
PRD-00290,SFT-00211,M206,EMB-206,22:00:00,00:14:00,1,1,40,,134.0
PRD-00291,SFT-00211,M206,EMB-216,00:14:00,05:29:10,1,1,62,,315.17
PRD-00292,SFT-00212,M301,CSB-315,22:00:00,05:30:00,1,1,40,,450.0
PRD-00293,SFT-00213,M302,CSB-308,22:00:00,05:29:21,1,1,43,,449.35
PRD-00294,SFT-00215,M304,CSB-306,22:00:00,05:29:48,1,1,52,,449.8
PRD-00295,SFT-00216,M305,CSB-318,22:00:00,05:29:21,1,1,43,,449.35
PRD-00296,SFT-00217,M101,BPA-116,06:00:00,09:30:08,301,279,64,,210.13
PRD-00297,SFT-00217,M101,BPA-113,09:30:08,13:19:03,334,318,67,,228.92
PRD-00298,SFT-00218,M102,BPA-107,06:00:00,13:19:27,414,382,51,,439.45
PRD-00299,SFT-00219,M103,BPA-118,06:00:00,13:19:01,300,294,71,,439.02
PRD-00300,SFT-00220,M104,BPA-112,06:00:00,13:19:12,393,370,54,,439.2
PRD-00301,SFT-00221,M105,BPA-103,06:00:00,09:30:54,323,301,74,,210.9
