Indeks;Odbiorca
22378808;D92
22358799;D92
22358801;D92
22358802;G56
22345447;G56
22345448;G56
22368166;G56
22368177;G56
22368181;G56
22345830;G56
22345831;G56
22368168;G56
22368172;G56
22345441;G56
22345442;G56
22345443;G56
22345444;G56
22345445;G56
22345446;G56
22351414;G56
22351417;G56
22368165;G56
22368173;G56
22368180;G56
22370608;G56
22372032;G56
22372044;G56
22372049;G56
22372055;G56
22368179;G56
22345463;G56
22345464;G56
22345465;G56
22345466;G56
22351407;G56
22351410;G56
22351416;G56
22351419;G56
22370604;G56
22370607;G56
22370610;G56
22368175;G56
22368182;G56
22381296;G56
22344610;G56
22336771;G56
22336771;G56
